db_id,source_ref,name,category_slug,state,city,currently_published,receives_map_pin,note
25e73d4a-657a-498b-9deb-ceabc08caef4,225,"Love's Truck Care #225, Evergreen",tire-repair,AL,Evergreen,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
d7669ede-a1d0-4fc9-9bd7-ab2fc25db55e,330,CAT Scale at Love's Travel Stop #330,cat-scales,TN,Baxter,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
e5d31239-bc34-4fc5-8cdd-8446053077a2,718,"CAT Scale — Love's Travel Stop #718, Hope Hull",cat-scales,AL,Hope Hull,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
d77dcc99-6512-4e2a-9c39-896770572e3d,718,"Love's Truck Care — Love's Travel Stop #718, Hope Hull",roadside-service,AL,Hope Hull,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
98192ea9-07b8-41aa-8b7d-82a96752bd04,874,CAT Scale at Love's Lafayette #874,cat-scales,IN,Lafayette,unpub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
ded68cd3-cdaa-4af2-9cbd-df5f6aaf354c,874,Love's Truck Care (Speedco) at Lafayette #874,tire-repair,IN,Lafayette,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
27490a78-a0da-432e-9f3b-7d351f0b1ef4,459,CAT Scale at Love's Travel Stop #459,cat-scales,IN,Whitestown,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
54a65451-113a-452a-9760-bcf055bb5769,451,CAT Scale (at Love's Travel Stop #451),cat-scales,IN,Whiteland,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
f170989d-6c5b-4de2-b71e-ca56877a43b9,417,"CAT Scale at Love's Travel Stop #417 (Grant Street, Gary)",cat-scales,IN,Gary,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
f9ecb604-3fd2-46b9-bd2c-36a798aa3f37,364,Love's Truck Care - Love's Travel Stop #364,tire-repair,TN,Charleston,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
78e6f4ee-fc3b-4c79-8946-2f2bc602a54a,735,"CAT Scale — Love's Travel Stop #735, Calhoun",cat-scales,GA,Calhoun,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
317477d8-2741-495d-a3b5-3c5e6eec68ed,861,"CAT Scale — Love's Travel Stop #861, Loudon",cat-scales,TN,Loudon,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
0c0c4cac-8771-4987-becf-d13a6fb414e6,618,"CAT Scale — Love's Travel Stop #618, Sadieville",cat-scales,KY,Sadieville,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
33c7ebe8-323c-4b35-a654-2ac4076fec1b,618,"Love's Truck Care / Speedco - Love's Travel Stop #618, Sadieville",tire-repair,KY,Sadieville,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
646d0d24-104d-46d8-92a4-d29ce7d8db20,291,"CAT Scale — Love's Travel Stop #291, Richmond",cat-scales,KY,Richmond,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
997324d7-302b-489e-b985-a31d43e886f5,291,"Love's Truck Care - Love's Travel Stop #291, Richmond",tire-repair,KY,Richmond,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
5ee50208-ea02-4cbd-8477-5f7469cc0385,321,"Love's Truck Care / Speedco - Love's Travel Stop #321, Corbin",tire-repair,KY,Corbin,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
22ecd0b0-6bb4-4069-a825-b571c22bc991,747,"CAT Scale — Love's Travel Stop #747, Sidney",cat-scales,OH,Sidney,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
abdd2d3e-b725-46c9-ac11-0982e7a36962,747,Love's Truck Wash #747,truck-washes,OH,Sidney,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
69637f6a-9573-47cb-acaf-7570d602a047,796,CAT Scale at Love's Travel Stop #796,cat-scales,TN,Newport,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
c0c4681b-ae70-4873-8240-f1542361338e,698,"CAT Scale — Love's Travel Stop #698, Macon",cat-scales,GA,Macon,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
a8527241-4fec-4e27-96d9-f3d5e882376b,356,"CAT Scale — Love's Travel Stop #356, North Baltimore",cat-scales,OH,North Baltimore,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
ff5956ff-3364-46a8-b036-0c8c8a414ad0,325,Love's Truck Care - Tifton #325,tire-repair,GA,Tifton,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
cabfc0a1-1c23-4475-8fce-1e7f0322d438,308,CAT Scale at Love's Travel Stop #308,cat-scales,NC,Marion,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
dd7fbadd-a3f0-4c41-a4dd-8cb7a57ad7ba,550,"CAT Scale — Love's Travel Stop #550, Valdosta",cat-scales,GA,Valdosta,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
bbe85dec-152f-460c-a888-a1eb45ba5af7,645,"CAT Scale — Love's Travel Stop #645, Frenchtown (Monroe)",cat-scales,MI,Frenchtown,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
146b8332-2938-43e7-ab80-e6069aee6443,645,Love's Truck Care - Frenchtown/Monroe (#645),tire-repair,MI,Frenchtown,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
b7c5c85d-80c3-4b9d-9731-bd1047b7eca5,743,"CAT Scale — Love's Travel Stop #743, Bridgeport",cat-scales,MI,Bridgeport,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
8131d6be-dfa1-41ef-a3b2-8528eae25b1e,743,"Love's Truck Care / Speedco - Love's Travel Stop #743, Bridgeport",tire-repair,MI,Bridgeport,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
0b34c58e-1c6e-4138-a978-f49cbf546920,470,"CAT Scale — Love's Travel Stop #470, Jasper",cat-scales,FL,Jasper,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
deb4ebbf-3a76-487f-b015-532c1f6f4d9f,724,"CAT Scale — Love's Travel Stop #724, Lake City",cat-scales,FL,Lake City,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
38cc0860-23d0-41f4-acee-987625766068,338,CAT Scale at Love's Richmond Hill (#338),cat-scales,GA,Richmond Hill,unpub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
ca5e9f7f-ad38-416d-a923-c86fe97befd8,893,CAT Scale at Love's Garden City (#893),cat-scales,GA,Garden City,unpub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
ab60f5a4-bfb6-4841-bc60-dc8414412eee,405,CAT Scale at Love's Brunswick (#405),cat-scales,GA,Brunswick,unpub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
05c35c41-6e8f-481f-a2f7-5f50e91170df,363,"CAT Scale — Love's Travel Stop #363, Ocala",cat-scales,FL,Ocala,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
2f8d337f-56bf-4d5d-bfca-44de796066ca,363,Love's Truck Care - Ocala (#363),tire-repair,FL,Ocala,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
fbba2a2b-9070-4943-9256-60b01d953f51,708,Love's Truck Tire Care - Bushnell (#708),tire-repair,FL,Bushnell,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
8542de02-fe4f-41a4-adcb-40ddf3f6b340,495,"CAT Scale - Love's Travel Stop #495, North Fort Myers",cat-scales,FL,North Fort Myers,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
39dbba87-eb5b-4ec6-86e2-ce9a469dbed0,495,Love's Truck Care #495 - North Fort Myers,tire-repair,FL,North Fort Myers,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
