site_id,brand,location_id,state,state_name,city,name,truck_parking_spaces,has_coordinate,weigh_scale,showers,disposition,reason
0024,TA,118,OH,Ohio,London,TA London,138,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0025,TA,5039,SC,South Carolina,Duncan,TA Spartanburg,187,true,y,11,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0026,Petro,5007,CA,California,Ontario,Petro Ontario,559,true,y,30,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0028,TA,5017,KY,Kentucky,Walton,TA Walton,60,true,y,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0029,TA,189,OH,Ohio,Kingsville,TA Kingsville,158,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0030,TA,5012,IL,Illinois,Zion,TA Chicago North,215,true,y,12,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0032,TA,5047,WV,West Virginia,Valley Grove,TA Wheeling,168,true,y,12,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0033,TA,5006,AR,Arkansas,Earle,TA Earle,137,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0035,TA,5001,IL,Illinois,Effingham,TA Effingham,137,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0036,TA,5032,OK,Oklahoma,Oklahoma City,TA Oklahoma City East,175,true,y,12,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0039,TA,186,OH,Ohio,Hebron,TA Hebron,130,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0041,TA,5050,CA,California,Coachella,TA Coachella,205,true,y,15,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0043,TA,319,IL,Illinois,Mt. Vernon,TA Mt Vernon,136,true,y,11,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0044,TA,342,IL,Illinois,Hampshire,TA Elgin,92,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0045,TA,676,GA,Georgia,Madison,TA Madison,149,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0046,TA,785,LA,Louisiana,Tallulah,TA Tallulah,135,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0047,TA,756,MS,Mississippi,Meridian,TA Meridian,90,true,y,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0048,TA,212,NJ,New Jersey,Bloomsbury,TA Bloomsbury,122,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0049,TA,729,TX,Texas,Rockwall,TA Rockwall,100,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0050,TA,307,WI,Wisconsin,DeForest,TA Madison,118,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0051,TA,701,MO,Missouri,Matthews,TA Matthews,114,true,y,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0052,TA,317,MO,Missouri,Oak Grove,TA Oak Grove,118,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0053,TA,656,FL,Florida,Wildwood,TA Wildwood,170,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0054,TA,778,AL,Alabama,Grand Bay,TA Mobile,89,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0055,TA,5073,TX,Texas,Amarillo,TA Amarillo,185,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0056,TA,435,OR,Oregon,Aurora,TA Aurora,275,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0057,TA,433,CA,California,Redding,TA Redding,196,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0058,TA,120,OH,Ohio,Youngstown,TA Youngstown,145,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0059,TA,709,OK,Oklahoma,Oklahoma City,TA Oklahoma City West,101,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0060,TA,425,UT,Utah,Salt Lake City,TA Tooele,191,true,y,11,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0065,TA,5014,IN,Indiana,Seymour,TA Seymour,184,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0066,TA,528,IA,Iowa,Council Bluffs,TA Council Bluffs,78,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0067,TA,5034,PA,Pennsylvania,Harrisville,TA Barkeyville,112,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0068,TA,5038,PA,Pennsylvania,Lamar,TA Lamar,168,true,y,11,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0069,TA,5019,MI,Michigan,Monroe,TA Monroe,156,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0071,TA,5048,WI,Wisconsin,Janesville,TA Janesville,96,true,y,12,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0077,TA,5015,IA,Iowa,Walcott,TA Walcott,900,true,y,24,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0081,TA,424,NM,New Mexico,Albuquerque,TA Albuquerque,150,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0082,TA,5082,OH,Ohio,Wapakoneta,TA Wapakoneta,145,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0087,TA,178,OH,Ohio,Perrysburg,TA Toledo,177,true,y,12,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0089,TA,312,MI,Michigan,Dexter,TA Ann Arbor,203,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0090,TA,502,NE,Nebraska,Ogallala,TA Ogallala,94,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0091,TA,5091,KS,Kansas,Oakley,TA Oakley,84,true,y,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0092,TA,322,IL,Illinois,Bloomington,TA Bloomington,160,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0093,TA,5072,KY,Kentucky,Florence,TA Florence,123,true,y,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0094,TA,439,AZ,Arizona,Kingman,TA Kingman,115,true,y,11,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0095,TA,104,OH,Ohio,Canton,TA North Canton,85,true,y,4,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0108,TA,421,NV,Nevada,Las Vegas,TA Las Vegas,144,true,y,13,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0116,TA,384,MI,Michigan,Sawyer,TA Sawyer,155,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0117,TA,768,TN,Tennessee,Antioch,TA Antioch,122,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0137,TA,310,MO,Missouri,Strafford,TA Strafford,140,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0139,TA,187,OH,Ohio,Jeffersonville,TA Jeffersonville,144,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0142,TA,210,VA,Virginia,Ashland,TA Richmond,317,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0143,TA,217,VA,Virginia,Wytheville,TA Wytheville,114,true,y,12,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0146,TA,5071,GA,Georgia,Cartersville,TA Cartersville,212,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0147,TA,5076,TX,Texas,San Antonio,TA San Antonio,238,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0148,TA,5070,CO,Colorado,Commerce City,TA Commerce City,224,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0149,TA,198,WV,West Virginia,Hurricane,TA Hurricane,76,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0150,TA,5078,TX,Texas,Dallas,TA Dallas South,136,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0151,TA,5018,MD,Maryland,Jessup,TA Baltimore South,436,true,y,19,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0152,TA,5074,OK,Oklahoma,Sayre,TA Sayre,101,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0153,TA,6153,TX,Texas,Laredo,TA Laredo,336,true,y,15,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0154,TA,5079,CT,Connecticut,Milldale,TA Southington,145,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0156,TA,677,GA,Georgia,Commerce,TA Commerce,89,true,y,14,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0158,TA Express,5084,FL,Florida,Seffner,TA Express Tampa,81,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0160,TA,429,CA,California,Buttonwillow,TA Buttonwillow,170,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0161,TA,770,LA,Louisiana,Lafayette,TA Lafayette,128,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0162,TA,417,CA,California,Ontario,TA Ontario,549,true,y,17,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0163,TA,431,CA,California,Santa Nella,TA Santa Nella,216,true,y,12,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0167,TA,5053,ID,Idaho,Boise,TA Boise,171,true,y,12,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0170,TA,6170,CA,California,Livingston,TA Livingston,102,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0171,TA Express,115,CT,Connecticut,Branford,TA Express New Haven,75,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0172,TA,428,NV,Nevada,Sparks,TA Sparks,200,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0173,TA,306,IN,Indiana,Whitestown,TA Whitestown,169,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0174,TA,432,CO,Colorado,Wheat Ridge,TA Wheat Ridge,116,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0175,TA,315,MO,Missouri,Foristell,TA Foristell,95,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0176,TA,5087,WA,Washington,North Bend,TA Seattle East,140,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0177,TA,604,GA,Georgia,Richmond Hill,TA Savannah,222,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0178,TA,605,FL,Florida,Marianna,TA Marianna,123,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0179,TA,213,SC,South Carolina,Manning,TA Manning,84,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0180,TA,725,LA,Louisiana,Slidell,TA Slidell,111,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0181,TA,5058,NV,Nevada,Mill City,TA Mill City,152,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0183,TA,5060,OR,Oregon,Troutdale,TA Troutdale,240,true,y,12,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0186,TA Express,5064,UT,Utah,Parowan,TA Express Parowan,90,true,y,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0187,TA,5065,WY,Wyoming,Burns,TA Cheyenne,140,true,y,12,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0188,TA,5067,WY,Wyoming,Ft. Bridger,TA Ft. Bridger,165,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0193,TA,512,NE,Nebraska,Alda,TA Grand Island,82,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0194,TA,102,NY,New York,Corfu,TA Pembroke,132,true,y,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0197,TA,672,FL,Florida,Vero Beach,TA Vero Beach,162,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0199,TA,5199,IL,Illinois,Troy,TA Troy,92,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0201,TA,6201,TN,Tennessee,Greeneville,TA Davy Crockett Travel Center,245,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0207,TA,6207,NY,New York,Binghamton,TA Binghamton,125,true,y,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0208,TA,6208,NY,New York,Dansville,TA Dansville,102,true,y,5,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0210,TA,6210,NY,New York,Montgomery,TA Maybrook,160,true,y,11,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0211,TA,6211,NH,New Hampshire,Greenland,TA Greenland,72,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0212,TA,6212,PA,Pennsylvania,Bloomsburg,TA Bloomsburg,190,true,y,13,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0213,TA,6213,PA,Pennsylvania,Greencastle,TA Greencastle,190,true,y,14,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0214,TA,6214,PA,Pennsylvania,Milesburg,TA Milesburg,122,true,y,4,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0215,TA,6215,PA,Pennsylvania,Erie,TA Harborcreek,266,true,y,11,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0216,TA,6216,MD,Maryland,Baltimore,TA Baltimore,181,true,y,11,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0220,TA,6220,IN,Indiana,Porter,TA Porter,212,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0221,TA,6221,NC,North Carolina,Candler,TA Candler,106,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0224,TA,6224,AR,Arkansas,Prescott,TA Prescott,292,true,y,11,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0225,TA,6225,AZ,Arizona,Tonopah,TA Tonopah,407,true,y,18,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0226,TA,6226,AZ,Arizona,Willcox,TA Willcox,229,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0227,TA,6227,CA,California,Barstow,TA Barstow,303,true,y,17,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0228,TA,6228,CO,Colorado,Limon,TA Limon,104,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0229,TA,6229,NM,New Mexico,Moriarty,TA Moriarty,245,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0230,TA,6230,TX,Texas,Big Spring,TA Big Spring,108,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0231,TA,6231,TX,Texas,Ganado,TA Ganado,104,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0232,TA,6232,TX,Texas,New Braunfels,TA New Braunfels,220,true,y,13,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0233,TA,6233,TX,Texas,Terrell,TA Terrell,300,true,y,12,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0234,TA,6234,WY,Wyoming,Rawlins,TA Rawlins,188,true,y,12,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0235,TA,5085,TX,Texas,Edinburg,TA Edinburg,105,true,y,5,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0236,TA,6236,IL,Illinois,Morris,TA Morris,292,true,y,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0237,TA,6237,LA,Louisiana,Greenwood,TA Greenwood,177,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0238,Petro,6238,SC,South Carolina,Columbia,Petro Columbia,134,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0239,TA,6239,CA,California,Arvin,TA Wheeler Ridge,306,true,y,10,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0241,TA,6241,IN,Indiana,DeMotte,TA DeMotte,133,true,y,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0242,TA,6242,MI,Michigan,Battle Creek,TA Battle Creek,157,true,y,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0245,TA,6245,TN,Tennessee,Denmark,TA Denmark,92,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0246,TA,6246,AZ,Arizona,Holbrook,TA Holbrook,75,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0247,TA,6247,FL,Florida,Baldwin,TA Baldwin,90,true,y,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0248,TA,6248,FL,Florida,Jacksonville,TA Jacksonville South,87,true,y,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0249,TA,6249,GA,Georgia,Lake Park,TA Lake Park,75,true,y,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0251,TA,6251,NC,North Carolina,Mocksville,TA Mocksville,130,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0252,TA,6252,KS,Kansas,Lebo,TA Beto Junction,226,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0253,TA,6253,RI,Rhode Island,West Greenwich,TA West Greenwich,180,true,y,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0254,TA,6254,IA,Iowa,Brooklyn,TA Brooklyn,70,true,y,5,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0255,TA,6255,TN,Tennessee,Pioneer,TA Caryville,80,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0257,TA,6257,IN,Indiana,Clayton,TA Clayton,100,true,y,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0258,TA,6258,GA,Georgia,Brunswick,TA Brunswick,107,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0259,TA Express,6259,ND,North Dakota,Alexander,TA Express Alexander,55,true,y,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0261,TA,6261,MT,Montana,Laurel,TA Laurel,80,true,y,4,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0266,TA,6266,TX,Texas,Denton,TA Denton,138,true,y,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0268,TA,6268,GA,Georgia,Jackson,TA Atlanta South,108,true,y,8,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0269,TA,6269,TN,Tennessee,Knoxville,TA Knoxville West,176,true,y,12,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0270,TA,6270,TX,Texas,Sealy,TA Bernardo,43,true,y,5,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0272,TA Express,1750,ND,North Dakota,Steele,TA Express Steele,70,true,,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0273,TA Express,6273,SD,South Dakota,Hot Springs,TA Express Hot Springs,75,true,y,2,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0274,TA Express,6274,SD,South Dakota,Summit,TA Express Summit,70,true,y,4,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0275,TA Express,6275,SD,South Dakota,Burbank,TA Express Vermillion,105,true,y,5,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0276,TA,6276,OR,Oregon,Huntington,TA Huntington,140,true,,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0277,TA Express,6277,TX,Texas,Baytown,TA Express Baytown South,29,true,y,3,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0279,TA Express,6279,OR,Oregon,Wasco,TA Express Biggs Junction,35,true,,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0281,TA Express,6281,TX,Texas,Kilgore,TA Express Kilgore,63,true,,7,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0282,TA Express,6282,TX,Texas,Almeda,TA Express Almeda,50,true,y,3,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0283,TA Express,6283,GA,Georgia,West Point,TA Express West Point,26,true,y,4,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0284,TA Express,6284,KS,Kansas,Edgerton,TA Express Edgerton,90,true,,4,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0286,TA Express,6286,TX,Texas,Mount Vernon,TA Express Mount Vernon,110,true,,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0287,TA Express,6287,TN,Tennessee,Cookeville,TA Express Cookeville,59,true,y,6,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0288,TA,6288,FL,Florida,Lake City,TA Lake City,250,true,y,14,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0289,TA Express,6289,TX,Texas,Nacogdoches,TA Express Nacogdoches,95,true,,5,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
0290,TA Express,6290,TX,Texas,Fairfield,TA Express Fairfield,102,true,y,9,unsupported,"plausible route-usable parking, but no authoritative source of record — an official TA export is required before any of this may be imported"
