db_id,source_ref,db_name,category_slug,state,city,currently_published,receives_map_pin,note
83d35d2c-b77c-44ea-8e25-6b0c1b3722c1,95,"CAT Scale - Pilot #95 (Wildwood, 493 SR 44)",cat-scales,FL,Wildwood,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
699bb772-2ec5-4520-bf6b-abeebf30954a,604,"CAT Scale — Flying J Travel Center #604, Hope Hull",cat-scales,AL,Hope Hull,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
b2d64c85-4150-4bf2-a7ed-a8f2d9ea31f4,876,CAT Scale at Flying J Carmel Church,cat-scales,VA,Ruther Glen,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
7f946536-b497-41a6-8f8a-e85b2b6b110d,34,CAT Scale at Pilot Remington #34,cat-scales,IN,Remington,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
a6b4c790-4ba6-48e8-bdad-2af3822a8f99,265,CAT Scale at ONE9 Travel Center (CAT #876),cat-scales,TN,Cookeville,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
f91d1114-a109-48b5-9b5e-1aa96591f8ae,493,CAT Scale at Flying J St. George,cat-scales,SC,Saint George,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
bc81fd4d-e85c-4de1-b213-705b1aa79e8b,624,CAT Scale - Flying J Travel Plaza #624 (Dade City),cat-scales,FL,San Antonio,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
152dcf8e-4366-4317-9e54-0e6d716a59af,664,"CAT Scale — Flying J Travel Center #664, Walton",cat-scales,KY,Walton,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
5330fe76-dd64-4b5b-b8d6-aca559036526,713,CAT Scale at Flying J Latta,cat-scales,SC,Latta,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
7e7568b1-db1e-4d3a-8403-85df63b12990,75,"CAT Scale — Pilot Travel Center #75, Satsuma",cat-scales,AL,Satsuma,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
7b36b126-6502-447f-bb23-84c4010f7203,384,CAT Scale at Pilot Colonial Heights,cat-scales,VA,Colonial Heights,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
85185773-3082-49d5-b2f0-74135faedfe7,429,CAT Scale at Pilot Travel Center #429,cat-scales,AR,West Memphis,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
5c78823e-ad8c-4072-a019-f167a2846019,656,CAT Scale (at Flying J Travel Center #656),cat-scales,IN,Whiteland,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
7612bd4d-3c89-4824-8916-ea651a1caf95,37,CAT Scale (at Pilot Travel Center #37),cat-scales,IN,Whiteland,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
ab64b757-a841-4754-b0cf-0d36aa10087c,24,"CAT Scale — Pilot Travel Center #24, Monroe",cat-scales,MI,Monroe,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
3b130209-e596-4c15-a1fa-522cf7d933bc,337,CAT Scale at Pilot Florence (#337),cat-scales,SC,Florence,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
bdbeb0cd-6935-4c31-b188-9465f1c1146a,630,"CAT Scale — Flying J Travel Center #630, Jackson",cat-scales,GA,Jackson,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
42fe1af3-f619-4058-a721-afb10238dae3,430,CAT Scale at Pilot Travel Center #430,cat-scales,AR,Russellville,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
c2bd3356-8933-46a5-9b08-0a520a585d2a,632,"CAT Scale — Flying J Travel Center #632, Resaca",cat-scales,GA,Resaca,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
861f3ac4-7494-480b-821c-05f6c9cf886d,700,"CAT Scale — Flying J Travel Center #700, Perrysburg",cat-scales,OH,Perrysburg,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
b2b47835-26cd-4b73-9b81-aeb562872970,722,"CAT Scale — Pilot Travel Center (Flying J #722), Knoxville (Watt Road)",cat-scales,TN,Knoxville,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
1fbc776a-057a-4370-96e9-bc049b0385a8,92,"CAT Scale — Pilot Travel Center #92, Ocala",cat-scales,FL,Ocala,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
61744d1b-3abe-4aed-bbcc-775321a08d5b,267,"CAT Scale — Pilot Travel Center #267, Byron",cat-scales,GA,Byron,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
2138c8b1-489c-4aa9-9fe9-51cf8fb72982,278,"CAT Scale — Mr. Fuel Travel Center, Walton",cat-scales,KY,Walton,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
0244b320-2bb1-4d47-a16f-53da1663fa6b,411,CAT Scale at Pilot Travel Center #411,cat-scales,TN,Lebanon,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
f2566159-665a-4205-929d-7352a3c1f402,622,CAT Scale at Flying J Fort Pierce,cat-scales,FL,Fort Pierce,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
7fa26b2f-a97d-4c5e-aa6f-cb992518cafe,875,CAT Scale at Flying J Elkton,cat-scales,MD,Elkton,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
6a2400d1-8053-46a5-adbb-e6a12e4cf641,293,"CAT Scale - Pilot #293 (Ocala, SR 484)",cat-scales,FL,Ocala,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
04ba3188-26b8-4f28-b7aa-b90da2745d91,895,"CAT Scale — Flying J #895, Woodhaven",cat-scales,MI,Woodhaven,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
f0783c4c-568f-4ed0-8ee8-baec2257dab1,895,Pilot Flying J Truck Care - Woodhaven,roadside-service,MI,Woodhaven,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
ee270529-dc8c-4671-85ee-83a351b95338,47,"CAT Scale — Pilot Travel Center #47, Georgetown (Cherry Blossom Way)",cat-scales,KY,Georgetown,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
bae44b4e-68ae-41f8-a15f-219606517dbf,271,"CAT Scale at Pilot Travel Center (Burr Street, Gary)",cat-scales,IN,Gary,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
410fb4a6-1480-436d-b89b-b5721608cc2a,271,"Truck Wash at Pilot Travel Center (Burr Street, Gary)",truck-washes,IN,Gary,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
8947e3ea-dd2f-43ea-bdde-41c3864cbfb6,500,"CAT Scale — Pilot Travel Center #500, Jasper",cat-scales,FL,Jasper,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
a1b16ec7-c91b-4173-8790-c48f19ff7cf7,627,CAT Scale at Flying J Brunswick (#627),cat-scales,GA,Brunswick,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
b9c7c0fd-8292-4f9f-8424-ab1914e68738,898,CAT Scale at Pilot Sadler's Emporia,cat-scales,VA,Emporia,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
2c075ea6-0ffe-4f08-8bcc-9d0a027c1ff3,4556,"CAT Scale - Pilot #4556 (Wildwood, 744 SR 44)",cat-scales,FL,Wildwood,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
4e8c0e97-4aab-4853-8e43-904eacb3b0a9,4558,"CAT Scale — Pilot Travel Center #4558, Calhoun",cat-scales,GA,Calhoun,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
c36a20c0-a035-4478-93c5-c93dceffb194,406,CAT Scale at Pilot Travel Center #406,cat-scales,TN,Cornersville,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
ff0a084a-5dae-4a65-a4a8-f9bca9531384,424,"CAT Scale - Pilot #424 (Ocala, 4032 Hwy 326)",cat-scales,FL,Ocala,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
9fa8f22a-5b4b-40a7-a594-885560ee35a0,448,CAT Scale at Pilot Travel Center (Hebron),cat-scales,IN,Hebron,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
49a23bf0-18cb-4ee8-b3cc-eaf19114f3d3,9,"CAT Scale — Pilot Travel Center #9, Franklin",cat-scales,OH,Franklin,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
a641f4bb-fad2-49c5-9b64-a856c9b2d976,360,"CAT Scale — Pilot Travel Center #360, Findlay",cat-scales,OH,Findlay,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
56accaa0-eb22-413a-b887-1e6d535c08ae,393,CAT Scale - Pilot Travel Center #393,cat-scales,NC,Waynesville,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
05e3d706-abe8-45ac-9a05-7da2c4ddf937,652,CAT Scale at Flying J Lebanon #652,cat-scales,IN,Lebanon,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
fb8eb46d-b871-4344-9cd6-5843638e7648,695,"CAT Scale — Flying J Travel Center #695, Beaverdam",cat-scales,OH,Beaverdam,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
8bdb3077-44fb-4228-8ae3-6328fa661a28,1550,CAT Scale at Pilot Travel Center (Good Hope),cat-scales,AL,Good Hope,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
03c57077-85f1-4fea-8838-348d2f8a3b5f,1577,"CAT Scale — Pilot Travel Center #1577, Pioneer",cat-scales,TN,Pioneer,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
0666ef38-a91d-4a71-b242-f94f4a45cca2,97,"CAT Scale — Flying J Travel Center #97, Vandalia",cat-scales,OH,Vandalia,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
c5a48945-a47e-4fd5-914d-84f308fce637,94,"CAT Scale - Pilot Travel Center #94, Punta Gorda",cat-scales,FL,Punta Gorda,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
6d1d4dd4-a6c9-418b-a766-edfb108c2503,575,CAT Scale at Pilot St. Marys (#575),cat-scales,GA,St. Marys,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
b139516b-3826-4241-90b1-050b8b83b179,605,CAT Scale at Flying J Travel Center #605,cat-scales,AR,Russellville,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
c155ccb3-73d8-4cee-ab06-8be51125d95c,58,CAT Scale at Pilot Pleasant Hill,cat-scales,NC,Pleasant Hill,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
55f53612-5494-460b-9ee1-2ac92f154285,192,"CAT Scale — Pilot Travel Center #192, Tifton",cat-scales,GA,Tifton,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
606a8c6f-80a0-4fd2-865e-19f30f18fd29,321,"CAT Scale — Pilot Travel Center #321, Walton (Richwood)",cat-scales,KY,Walton,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
2014a51a-b405-4d49-a3b4-a22a9844ac5f,416,"CAT Scale — Pilot Travel Center #416, Cordele",cat-scales,GA,Cordele,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
6f7fee11-ff4c-445d-b830-d899d682312c,626,CAT Scale at Flying J Saint Augustine,cat-scales,FL,Saint Augustine,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
925013f5-8de1-4263-999a-8121bb9bd399,668,"CAT Scale — Flying J Travel Center #668, Saginaw",cat-scales,MI,Saginaw,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
61a7d832-a098-4196-bbe2-5b58562e7b9b,784,CAT Scale at Flying J North East,cat-scales,MD,North East,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
72ff780f-93e7-4421-b8a0-9d79a49205fd,900,CAT Scale at Pilot Dunn (Sadler Travel Plaza),cat-scales,NC,Dunn,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
32e1f8ab-7b2c-425d-b046-bf14bd3e1a0a,607,CAT Scale at Flying J Travel Center #607,cat-scales,AR,West Memphis,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
eb5cb560-c5f7-466b-89b0-4fb84dbf8ff5,683,CAT Scale at Flying J Kenly,cat-scales,NC,Kenly,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
67d39304-81ee-485f-a23a-0882d8ace653,4562,CAT Scale at Pilot Kingsland (#4562),cat-scales,GA,Kingsland,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
a3953ace-f227-41eb-8824-30476efb2e60,4569,CAT Scale at Pilot Hardeeville,cat-scales,SC,Hardeeville,false,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
dbf0f5f0-3fa6-4f92-98f5-40f76579d5c8,4598,"CAT Scale — Pilot Travel Center #4598, Niota",cat-scales,TN,Niota,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
38ffb2aa-c692-4376-9d7c-4b39e745845d,1330,CAT Scale at ONE9 Travel Center Brinkley,cat-scales,AR,Brinkley,true,false,"colocated service record at the same network site — reconciled, no coordinate, no second map pin"
