"Store #","Name","Address","City","State","Zip Code","Interstate","Latitude","Longitude","Phone Number","Parking Spaces Count","Fuel Lane Count","Shower Count","Amenities","Restaurants"
319,ONE9 Travel Center,243 Connector 3 SW,Dalton,GA,30720,"I-75, Exit 328",34.687265430033236,-85.00015391534424,(706) 277-7934,100,10,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Arby's | Pilot Eats EXPRESS
368,Pilot Travel Center,4030 E Boyd Rd,Decatur,IL,62521,"I-72, Exit 144",39.907519,-88.895694,(217) 876-0208,70,9,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,McDonalds | Pilot Eats EXPRESS
386,Pilot Travel Center,4220 Brooklake Rd NE,Salem,OR,97305,"I-5, Exit 263",45.04875945286386,-122.974879362258,(503) 463-1114,88,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Cinnabon | Taco Bell | Pilot Eats
390,Pilot Travel Center,2115 S Hwy 395,Stanfield,OR,97875,"I-84, Exit 188",45.765959885274036,-119.20570871753203,(541) 449-1403,112,7,0,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,Cinnabon | McDonalds | Subway | Pilot Eats EXPRESS
412,Pilot Travel Center,3624 Roy Messer Hwy,White Pine,TN,37890,"I-81, Exit 4",36.108963277219395,-83.33399695833587,(865) 674-8570,130,9,10,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | IdleAir | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,McDonalds | Pilot Eats EXPRESS
434,Pilot Travel Center,2400 Alliance Gateway Fwy,Fort Worth,TX,76177,"I-35, Exit 65",32.95772056313138,-97.307540815907,(817) 337-5324,181,9,12,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | IdleAir | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,McDonalds | Subway | Pilot Eats EXPRESS
435,Pilot Travel Center,2015 Antonio St,Anthony,TX,79821,"I-10, Exit 0",31.99669374724544,-106.58611026983642,(915) 886-3090,79,9,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Wendy's | Pilot Eats EXPRESS
457,Pilot Travel Center,427 East Main Street,Beaver Dam,OH,45808,"I-75, Exit 135",40.8339660627421,-83.9644058889723,(419) 643-6023,105,9,10,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,McDonalds | Subway | Pilot Eats EXPRESS
473,Pilot Travel Center,23841 W Eames St,Channahon,IL,60410,"I-55, Exit 248",41.457419491275054,-88.19226205158996,(815) 467-4455,25,4,0,Diesel Lanes | Diesel Mobile Fueling | Premium Wifi | ATM | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Dunkin Donuts | Pilot Eats EXPRESS
514,Pilot Dealer,2903 Woodlawn Rd,Lincoln,IL,62656,"I-55, Exit 126",40.15749940823152,-89.41270526994057,(217) 732-3915,100,10,0,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces,
601,Flying J Travel Center,6098 McAshan Dr,McCalla,AL,35111,"I-20/59, Exit 104",33.32187149007702,-87.04713296574555,(205) 477-9181,150,12,15,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Barber Shop | CAT Scale | Check Cashing | DEF Lanes | Drivers Lounge | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Pilot Eats
663,Flying J Travel Center,1670 Waddy Rd,Waddy,KY,40076,"I-64/KY-395, Exit 43",38.156100172730525,-85.0671514662502,(502) 829-9100,110,8,9,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Pilot Eats
677,Flying J Travel Center,4740 Bethel Rd,Olive Branch,MS,38654,"US-78, Exit 6",34.928495097566206,-89.79375319153878,(662) 895-1001,72,7,9,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Subway | Pilot Eats
708,Flying J Travel Center,1501 Harrisburg Pike,Carlisle,PA,17015,"I-81, Exit 52 & I-76, Exit 226",40.23502919205681,-77.12300440873719,(717) 243-6659,252,13,22,Electric Vehicle Charging Station | Mobile Ordering,Denny's | Pilot Eats
717,Mr. Fuel Travel Center,3324 MO-100,Villa Ridge,MO,63089,"I-44, Exit 251",38.47573552261796,-90.85136636107242,(636) 451-5569,11,7,4,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Lottery | Pegasus | Mobile Ordering,Pilot Eats
734,Flying J Travel Center,23412 TX-242,New Caney,TX,77357,"I-69/US-59, Exit 161",30.192631343463216,-95.19280440799402,(281) 689-8065,150,8,9,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Denny's | Pilot Eats
749,Flying J Travel Center,24279 Rogers Clark Blvd,Ruther Glen,VA,22546,"I-95, Exit 104",37.93292857497793,-77.47297547846654,(804) 448-9047,199,12,15,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Cylinder Propane | DEF Lanes | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Cinnabon | Denny's | Pilot Eats
790,Flying J Travel Center,628 County Rd 41,Napanee,ON,K7R 3L2,"ON-401, Exit 579",44.266494161578635,-76.96763284049284,(613) 354-7044,165,12,17,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Pegasus | Public Laundry | Truck Parking Spaces | Truck Wash,Denny's | Pilot Eats
807,Flying J Travel Center,1400 Britannia Rd E,Mississauga,ON,L4W 1C7,"ON-401, Exit 346",43.6535799,-79.6490977,(905) 564-6216,65,13,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Drivers Lounge | Pegasus | Public Laundry | Truck Parking Spaces,Pilot Eats
869,Flying J Travel Center,2810 21 Ave,Nanton,AB,T0L 1R0,AB-533 & AB-2,50.3415416,-113.7655356,(403) 646-2810,71,5,3,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces,Pilot Eats EXPRESS
892,Pilot Dealer,1085 E Main St,Green River,UT,84525,"I-70, Exit 164",38.995543006688784,-110.14848228991583,(435) 564-3495,100,5,0,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Drivers Lounge | Game Room | Pegasus | Public Laundry | Truck Parking Spaces,
1013,Pilot Licensed Location,561 Business Hub Dr,Belgrade,MT,59714,"I-90, Exit 298",45.773855,-111.199,(406) 924-6990,120,5,0,Diesel Lanes | Showers | Premium Wifi | ATM | CAT Scale | DEF Lanes | Drivers Lounge | Public Laundry | Truck Parking Spaces,
1023,Pilot Travel Center,1920 E Denman Ave,Lufkin,TX,75901,US-69 & Loop 287,31.317649847340558,-94.69881432944776,(936) 899-7101,47,7,4,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Moe's | Pilot Eats
1030,Pilot Travel Center,12680 S Kedzie Ave,Alsip,IL,60803,"I-57, Exit 353/I-294, Exit 12A",41.66295476646664,-87.70057692142639,(708) 385-2271,76,7,4,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Cinnabon | Pilot Eats
1058,Pilot Dealer,17276 NE US Hwy 301,Waldo,FL,32694,Hwy 301,29.81425446967623,-82.16885905772416,(352) 468-1590,50,5,0,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces,
4563,Flying J Travel Center,7833 Linglestown Rd,Harrisburg,PA,17112,"I-81, Exit 77",40.35247188551114,-76.72698970428182,(717) 901-6186,115,9,10,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | CAT Scale | Cylinder Propane | DEF Lanes | Pegasus | Truck Parking Spaces | Truck Wash | Bridgestone Tire Monitoring | Mobile Ordering,McDonalds | Perkins | Pilot Eats
4561,Pilot Travel Center,3460 Madison Hwy,Valdosta,GA,31601,"I-75, Exit 11",30.75426741025947,-83.27322114484404,(229) 300-1560,84,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Wendy's | Pilot Eats
4566,Pilot Travel Center,2768 E Cherokee St,Blacksburg,SC,29702,"I-85, Exit 106",35.16609438580472,-81.45147499183216,(864) 936-9984,114,9,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Taco Bell | Wendy's | Pilot Eats
4568,Pilot Travel Center,574 Bettis Academy Rd,Graniteville,SC,29829,"I-20, Exit 11",33.60434790107278,-81.84092747668649,(803) 663-6674,56,8,6,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | CAT Scale | Cylinder Propane | DEF Lanes | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Subway | Pilot Eats EXPRESS
237,Pilot Travel Center,951 Work St,Salinas,CA,93901,"US-101, Exit 326B",36.66519154582201,-121.63015090798662,(831) 775-0380,62,6,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Live Parking | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Cinnabon | Subway | Pilot Eats EXPRESS
53,Pilot Travel Center,15559 TN-13,Hurricane Mills,TN,37078,"I-40, Exit 143",35.88214835938339,-87.80100000398463,(931) 296-7180,180,11,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | IdleAir | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Arby's | Pilot Eats EXPRESS
76,Pilot Travel Center,4416 Skyland Blvd E,Tuscaloosa,AL,35405,"I-20/59, Exit 76",33.17315449929658,-87.47864689131801,(205) 553-9710,71,8,8,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Subway | Pilot Eats EXPRESS
62,Pilot Travel Center,3006 N Williston Rd,Florence,SC,29506,"I-95, Exit 170",34.26660455384255,-79.70179281338103,(843) 662-6972,75,8,3,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Wendy's | Pilot Eats EXPRESS
163,Pilot Travel Center,1124 E Motel Dr,Lordsburg,NM,88045,"I-10, Exit 24",32.3425833,-108.6810972,(575) 912-1072,95,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,Arby's | Pilot Eats EXPRESS
242,Pilot Travel Center,1851 W 400 N,Shelbyville,IN,46176,"I-74, Exit 109",39.5835087313222,-85.81814804458672,(317) 392-8771,68,8,7,Electric Vehicle Charging Station | Mobile Ordering,Cinnabon | McDonalds | Pilot Eats
335,Pilot Travel Center,103 Grimshaw St,Rayville,LA,71269,"I-20/US-425, Exit 138",32.45940758197811,-91.7593958134918,(318) 728-4100,85,7,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Wendy's | Pilot Eats EXPRESS
365,Pilot Travel Center,22717 Ave 18 1/2,Madera,CA,93637,"CA-99, Exit 159",37.018868769700454,-120.13309610344751,(559) 673-3878,81,12,11,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | DEF Lanes | IdleAir | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Cinnabon | Denny's | Subway | Pilot Eats
372,Pilot Travel Center,31642 Castiac Rd,Castaic,CA,91384,"I-5, Exit 176",34.49454436998097,-118.61992535714718,(661) 243-0487,54,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Cinnabon | Pilot Eats
403,ONE9 Travel Center,1915 E Raccoon Valley Dr,Heiskell,TN,37754,"I-75, Exit 117",36.11106959328141,-84.02018275210868,(865) 938-1439,25,6,1,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Pegasus | Truck Parking Spaces | Mobile Ordering,Pilot Eats
441,Pilot Travel Center,3240 Point Mallard Parkway,Decatur,AL,35603,"I-65, Exit 334",34.538005252844954,-86.91097605562913,(256) 353-5252,70,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Wendy's | Pilot Eats EXPRESS
454,Pilot Travel Center,1365 US-42,London,OH,43140,"I-70, Exit 79",39.95909639570451,-83.36973511772156,(614) 879-4128,72,9,9,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Arby's | Cinnabon | Pilot Eats
492,Pilot Travel Center,170 Valley Street,Arkadelphia,AR,71923,"I-30, Exit 78 & Hwy 7",34.18667113294739,-93.07017095887814,(870) 245-3119,78,8,7,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Cinnabon | Dunkin Express | Pilot Eats
495,Pilot Travel Center,4126 IA-21,Brooklyn,IA,52211,"I-80, Exit 201",41.697904615668605,-92.35908192846355,(641) 630-1509,90,7,0,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Subway | Pilot Eats EXPRESS
498,Pilot Travel Center,1954 S Mississippi Ave,Atoka,OK,74525,US-69 & Redbud Ln,34.36463852185388,-96.14065662570454,(580) 364-0232,63,8,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Moe's | Pilot Eats
559,Pilot Travel Center,706 E I-20 Frontage Rd,Big Spring,TX,79720,"I-20, Exit 178",32.265696375745854,-101.47432580585442,(432) 223-5832,71,8,7,Electric Vehicle Charging Station | Mobile Ordering,McDonalds | Pilot Eats
596,Pilot Travel Center,2424 Wadhams Rd,Smiths Creek,MI,48074,"I-69, Exit 196",42.9767061,-82.5421841,(810) 642-2064,65,8,5,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | Wifi | ATM | CAT Scale | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,Cinnabon | Subway | Pilot Eats EXPRESS
653,Flying J Travel Center,3231 E 181st Ave,Hebron,IN,46341,"I-65, Exit 240",41.28823088555331,-87.29464827116392,(219) 696-6446,366,10,15,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | CB Shop | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Denny's | Pilot Eats
633,Flying J Travel Center,3600 GA-77,Greensboro,GA,30642,"I-20, Exit 138",33.547337634902306,-83.07739674662704,(706) 486-4835,189,8,9,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,Pilot Eats
689,Flying J Travel Center,9911 Avalon Rd NW,Albuquerque,NM,87105,"I-40, Exit 153",35.07946822134596,-106.745739167984,(505) 831-2001,165,12,15,Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,Denny's | Pilot Eats
696,Flying J Travel Center,7735 E OH-37,Sunbury,OH,43074,"I-71, Exit 131",40.2677136,-82.9246924,(740) 965-9835,150,12,15,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,Denny's | Pilot Eats
709,Flying J Travel Center,5609 Nittany Valley Dr,Mill Hall,PA,17751,"I-80, Exit 173",41.028628022237584,-77.52295059947508,(570) 726-4080,147,12,15,Electric Vehicle Charging Station | Mobile Ordering,Denny's | Pilot Eats
772,Flying J Travel Center,885 North Pointe Cir,North Salt Lake,UT,84054,"I-215, Exit 27",40.836157790506405,-111.93407773859408,(801) 936-1408,42,5,4,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,Pilot Eats EXPRESS
796,Flying J Travel Center,6607 67 St,Red Deer,AB,T4P 1A4,AB-2 & 67 St,52.2873314894244,-113.84923945427022,(403) 879-9450,26,5,4,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces,Pilot Eats
1019,Pilot Travel Center,4444 Commerce Ln,Orland,CA,95963,"I-5, Exit 619",39.750681664872374,-122.20806174603271,(530) 865-0108,73,9,9,Electric Vehicle Charging Station | Mobile Ordering,Cinnabon | Wendy's | Pilot Eats
