source_ref,official_name,state,city,address,quarantine_reason
868,Flying J Travel Center,AB,Medicine Hat,2194 Saamis Dr NW,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
792,Flying J Travel Center,AB,Brooks,1260 Cassils Rd E,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
811,Flying J Travel Center,SK,Moose Jaw,370 N Service Rd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
866,Flying J Travel Center,ON,Shuniah,3200 Hwy 11-17,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
1197,Flying J Dealer,BC,Jaffray,1950 BC-3,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
795,Flying J Travel Center,AB,Nisku,302 20 Ave,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
850,Shell Flying J Dealer,AB,Edmonton,16806 118 Ave NW,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
463,Flying J Dealer,ON,Wyoming,5906 Oil Heritage Rd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
789,Flying J Travel Center,ON,London,3700 Highbury Ave S,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
803,Flying J Travel Center,MB,Portage La Prairie,Highway 1 East,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
846,Shell Flying J Dealer,AB,Hanna,Jct Hwy 9 & Hwy 36 S,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
788,Flying J Travel Center,MB,Headingley,4100 Portage Ave,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
785,Flying J Travel Center,AB,Calgary,11511 40 St SE,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
791,Flying J Travel Center,SK,Saskatoon,3850 Idylwyld Dr N,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
806,Flying J Travel Center,ON,Kapuskasing,410 Government Rd E,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
864,Shell Flying J Dealer,SK,Davidson,Jct Hwy 11 & Hwy 44,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
804,Flying J Travel Center,MB,Winnipeg,1747 Brookside Blvd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
461,Flying J Travel Center,ON,Tilbury,19325 Essex County Rd 42,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
861,Flying J Travel Center,BC,Hope,63100 Flood Hope Rd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
798,Flying J Travel Center,BC,Annacis Island Delta,1291 Cliveden Ave,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
839,Flying J Travel Center,MB,Ste Agathe,354 Voyageur Rd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
786,Flying J Travel Center,AB,Sherwood Park,50 Pembina Rd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
805,Flying J Travel Center,ON,Etobicoke,1765 Albion Rd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
824,Flying J Travel Center,AB,Whitecourt,5329 Govenlock Mountain Rd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
865,Flying J Dealer,ON,Pickering,2000 Clements Rd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
860,Flying J Travel Center,ON,Fort Erie,1637 Pettit Rd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
863,Flying J Travel Center,SK,Balgonie,1800 N Service Rd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
1200,Flying J Dealer,AB,Valleyview,3806 Highway St,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
1201,Flying J Dealer,ON,Inglewood,13947 Hurontario St,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
814,Shell Cardlock,AB,Calgary,2525 23 St NE,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
801,Flying J Cardlock,BC,Prince George,4869 Continental Way,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
813,Shell Cardlock,AB,Airdrie,85 East Lake Crescent NE,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
799,Flying J Dealer,BC,Chilliwack,7970 Lickman Rd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
818,Shell Cardlock,AB,Edson Motco,2520 2 Ave,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
821,Shell Cardlock,AB,Lethbridge,1005 43 St S,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
822,Shell Cardlock,AB,Lloydminster,5109 63 Ave,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
827,Flying J Cardlock,BC,Abbotsford,929 Coutts Way,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
828,Flying J Cardlock,BC,Cranbrook,2209 Theatre Rd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
830,Flying J Cardlock,BC,Dawson Creek,2647 Darcys Rd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
829,Flying J Cardlock,BC,Creston,1411 Northwest Blvd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
832,Flying J Cardlock,BC,New Westminster,24 Braid St,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
844,Flying J Cardlock,SK,Yorkton,191 York Rd W,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
825,Flying J Cardlock,ON,Brantford,11 Sinclair Blvd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
835,Flying J Cardlock,MB,Winnipeg,131 Warman Rd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
842,Flying J Cardlock,SK,Regina,1511 Ross Ave E,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
843,Flying J Dealer,ON,Tecumseh,5470 Walker Rd,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
851,Flying J Travel Center,BC,Monte Creek,1255 Dallas Dr,canada; preserved in CANADA-55.csv; excluded from every U.S. coverage denominator
