name,category,address,city,state,zip,phone,website,description,latitude,longitude,truckspaces,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security,interstate,exitnumber
"TA Madison","truck-stops","5901 Highway 51","DeForest","WI","53532","608-249-9000","","118 truck parking spaces. 9 showers. 4 service bays. 8 diesel lanes. On site: Popeyes. Weigh scale on site (brand unconfirmed)","43.1745","-89.3255","118","yes","yes","yes","yes","","yes","","","","",""
"TA Matthews","truck-stops","854 State Hwy 80","Matthews","MO","63867","573-471-8644","","114 truck parking spaces. 6 showers. 5 service bays. 8 diesel lanes. On site: Popeyes, Taco Bell Express. Weigh scale on site (brand unconfirmed)","36.7582","-89.5346","114","yes","yes","yes","yes","","yes","","","","",""
"TA Oak Grove","truck-stops","100 North Broadway","Oak Grove","MO","64075","816-690-4115","","118 truck parking spaces. 9 showers. 3 service bays. 10 diesel lanes. On site: IHOP; Popeyes. Weigh scale on site (brand unconfirmed)","39.0176","-94.1302","118","yes","yes","yes","yes","","yes","","","","",""
"TA Wildwood","truck-stops","556 St. Rt. 44","Wildwood","FL","34785","352-748-2501","","170 truck parking spaces. 10 showers. 5 service bays. 10 diesel lanes. On site: Pizza Hut Express, Popeyes. Weigh scale on site (brand unconfirmed)","28.875","-82.0939","170","yes","yes","yes","yes","","yes","","","","",""
"TA Mobile","truck-stops","9201 Grand Bay","Grand Bay","AL","36541","251-865-6175","","89 truck parking spaces. 8 showers. 5 service bays. 6 diesel lanes. On site: Dunkin', Popeyes. Weigh scale on site (brand unconfirmed)","30.4985","-88.3336","89","yes","yes","yes","yes","","yes","","","","",""
"TA Amarillo","truck-stops","7000 E. Interstate 40","Amarillo","TX","79118","806-342-3080","","185 truck parking spaces. 10 showers. 6 service bays. 8 diesel lanes. On site: Black Bear Diner; Burger King, Pizza Hut Express, Popeyes. Weigh scale on site (brand unconfirmed)","35.1915","-101.7589","185","yes","yes","yes","yes","","yes","","","","",""
"TA Aurora","truck-stops","21856 Bents Road NE","Aurora","OR","97002","503-678-2111","","275 truck parking spaces. 9 showers. 2 service bays. 8 diesel lanes. On site: Popeyes. Weigh scale on site (brand unconfirmed)","45.2361","-122.8072","275","yes","yes","yes","yes","","yes","","","","",""
"TA Redding","truck-stops","19483 Knighton Road","Redding","CA","96002","530-221-4760","","196 truck parking spaces. 7 showers. 2 service bays. 10 diesel lanes. On site: Pizza Hut Express, Popeyes. Weigh scale on site (brand unconfirmed)","40.5048","-122.3349","196","yes","yes","yes","yes","","yes","","","","",""
"TA Youngstown","truck-stops","5400 Seventy Six Drive","Youngstown","OH","44515","330-793-4426","","145 truck parking spaces. 9 showers. 5 service bays. 10 diesel lanes. Weigh scale on site (brand unconfirmed)","41.1225","-80.7653","145","yes","","yes","yes","","yes","","","","",""
"TA Oklahoma City West","truck-stops","501 South Morgan Road","Oklahoma City","OK","73128","405-324-5376","","101 truck parking spaces. 8 showers. 3 service bays. 8 diesel lanes. On site: Fazoli's, Popeyes. Weigh scale on site (brand unconfirmed)","35.4617","-97.6906","101","yes","yes","yes","yes","","yes","","","","",""
"TA Tooele","truck-stops","8836 North Highway 40","Salt Lake City","UT","84074","801-250-8585","","191 truck parking spaces. 11 showers. 3 service bays. 7 diesel lanes. On site: Burger King, Taco Bell. Weigh scale on site (brand unconfirmed)","40.6899","-112.2629","191","yes","yes","yes","yes","","yes","","","","",""
"TA Council Bluffs","truck-stops","3210 South Seven Street","Council Bluffs","IA","51501","712-366-2217","","78 truck parking spaces. 8 showers. 2 service bays. 8 diesel lanes. Weigh scale on site (brand unconfirmed)","41.2287","-95.8536","78","yes","","yes","yes","","yes","","","","",""
"TA Barkeyville","truck-stops","5644 St. Rt. 8","Harrisville","PA","16038-9641","814-786-7988","","112 truck parking spaces. 8 showers. 3 service bays. 8 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","41.1992","-79.9758","112","yes","yes","yes","yes","","yes","","","","",""
"TA Lamar","truck-stops","5600 Nittany Valley Drive","Lamar","PA","16848-0278","570-726-4996","","168 truck parking spaces. 11 showers. 3 service bays. 9 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","41.0275","-77.521","168","yes","yes","yes","yes","","yes","","","","",""
"TA Monroe","truck-stops","1255 N Dixie Hwy","Monroe","MI","48162","734-384-7952","","156 truck parking spaces. 10 showers. 3 service bays. 8 diesel lanes. On site: Fazoli's, Popeyes, Tim Horton's. Weigh scale on site (brand unconfirmed)","41.9267","-83.3632","156","yes","yes","yes","yes","","yes","","","","",""
"TA Janesville","truck-stops","3222 Hwy. 14 East","Janesville","WI","53546-8218","608-752-8700","","96 truck parking spaces. 12 showers. 4 service bays. 8 diesel lanes. On site: Chester Fried Chicken, Cinnabon, Hunt Brothers Pizza, Wendy's. Weigh scale on site (brand unconfirmed)","42.7143","-88.9793","96","yes","yes","yes","yes","","yes","","","","",""
"TA Walcott","truck-stops","755 W. Iowa 80 Road","Walcott","IA","52773","563-284-6961","","900 truck parking spaces. 24 showers. 7 service bays. 15 diesel lanes. On site: Iowa 80 Kitchen; Blimpie, Dairy Queen, Orange Julius, Pizza Hut Express, Starbucks, Taco Bell, Wendy's. Truck wash: Truckomat Truck Wash. Weigh scale on site (brand unconfirmed)","41.6179","-90.7815","900","yes","yes","yes","yes","","yes","","","","",""
"TA Albuquerque","truck-stops","2501 University Blvd., NE","Albuquerque","NM","87107","505-884-1066","","150 truck parking spaces. 10 showers. 3 service bays. 8 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","35.1111","-106.6247","150","yes","yes","yes","yes","","yes","","","","",""
"TA Wapakoneta","truck-stops","1775 Bellefontaine St.","Wapakoneta","OH","45895","567-712-5101","","145 truck parking spaces. 7 showers. 3 service bays. 8 diesel lanes. On site: Miss J's Diner; Miss J’s Café. Weigh scale on site (brand unconfirmed)","40.5582","-84.1656","145","yes","yes","yes","","","yes","","","","",""
"TA Toledo","truck-stops","3483 Libbey Road","Perrysburg","OH","43551-9750","567-970-3800","","177 truck parking spaces. 12 showers. 4 service bays. 10 diesel lanes. On site: Taco Bell. Weigh scale on site (brand unconfirmed)","41.5215","-83.4624","177","yes","yes","yes","yes","","yes","","","","",""
"TA Ann Arbor","truck-stops","200 Baker Road","Dexter","MI","48130","734-426-3951","","203 truck parking spaces. 8 showers. 3 service bays. 9 diesel lanes. On site: Popeyes. Weigh scale on site (brand unconfirmed)","42.2963","-83.8764","203","yes","yes","yes","yes","","yes","","","","",""
"TA Ogallala","truck-stops","103 Prospector Drive","Ogallala","NE","69153-3198","308-284-3667","","94 truck parking spaces. 9 showers. 2 service bays. 8 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","41.1138","-101.7116","94","yes","yes","yes","yes","","yes","","","","",""
"TA Oakley","truck-stops","1001 Hwy 40","Oakley","KS","67748","785-672-4111","","84 truck parking spaces. 6 showers. 6 service bays. 8 diesel lanes. On site: IHOP; Sonic, Subway. Weigh scale on site (brand unconfirmed)","39.1188","-100.811","84","yes","yes","yes","yes","","yes","","","","",""
"TA Bloomington","truck-stops","505 Truckers Lane","Bloomington","IL","61701","309-827-4676","","160 truck parking spaces. 8 showers. 6 service bays. 8 diesel lanes. Weigh scale on site (brand unconfirmed)","40.488","-89.0262","160","yes","","yes","yes","","yes","","","","",""
"TA Kingman","truck-stops","946 West Beale Street","Kingman","AZ","86401","928-753-7600","","115 truck parking spaces. 11 showers. 5 service bays. 10 diesel lanes. On site: Black Bear Diner; Popeyes. Weigh scale on site (brand unconfirmed)","35.1901","-114.0702","115","yes","yes","yes","yes","","yes","","","","",""
"TA North Canton","truck-stops","4450 Portage St. NW","Canton","OH","44720","330-494-7507","","85 truck parking spaces. 4 showers. 6 diesel lanes. Weigh scale on site (brand unconfirmed)","40.8788","-81.4295","85","yes","","yes","yes","","yes","","","","",""
"TA Las Vegas","truck-stops","8050 Dean Martin Drive","Las Vegas","NV","89139","702-361-1176","","144 truck parking spaces. 13 showers. 3 service bays. 10 diesel lanes. On site: Burger King, Taco Time. Weigh scale on site (brand unconfirmed)","36.0433","-115.1873","144","yes","yes","yes","yes","","yes","","","","",""
"TA Sawyer","truck-stops","6100 Sawyer Road","Sawyer","MI","49125","269-426-4884","","155 truck parking spaces. 9 showers. 3 service bays. 10 diesel lanes. On site: Burger King, Pizza Hut, Popeyes, Taco Bell Express. Weigh scale on site (brand unconfirmed)","41.8845","-86.6001","155","yes","yes","yes","yes","","yes","","","","",""
"TA Antioch","truck-stops","13011 Old Hickory Blvd.","Antioch","TN","37013","615-641-6731","","122 truck parking spaces. 10 showers. 5 service bays. 7 diesel lanes. On site: Burger King, Popeyes. Weigh scale on site (brand unconfirmed)","36.015","-86.6184","122","yes","yes","yes","yes","","yes","","","","",""
"TA Strafford","truck-stops","225 E. Evergreen","Strafford","MO","65757-0069","417-736-2161","","140 truck parking spaces. 8 showers. 2 service bays. 8 diesel lanes. On site: Denny's; Miss J's, Subway, Taco Bell. Weigh scale on site (brand unconfirmed)","37.2745","-93.1152","140","yes","yes","yes","yes","","yes","","","","",""
"TA Jeffersonville","truck-stops","12403 US Rt 35 NW","Jeffersonville","OH","43128-0068","740-948-2365","","144 truck parking spaces. 7 showers. 5 service bays. 10 diesel lanes. On site: IHOP; Pizza Hut Express, Popeyes. Weigh scale on site (brand unconfirmed)","39.6166","-83.6038","144","yes","yes","yes","yes","","yes","","","","",""
"TA Richmond","truck-stops","10134 Lewistown Road","Ashland","VA","23005","804-798-6021","","317 truck parking spaces. 10 showers. 6 service bays. 7 diesel lanes. On site: Pizza Hut Express, Popeyes. Weigh scale on site (brand unconfirmed)","37.7237","-77.4479","317","yes","yes","yes","yes","","yes","","","","",""
"TA Wytheville","truck-stops","1025 Peppers Ferry Road","Wytheville","VA","24382","276-228-8676","","114 truck parking spaces. 12 showers. 6 service bays. 10 diesel lanes. On site: IHOP; Popeyes, Subway, Taco Bell. Weigh scale on site (brand unconfirmed)","36.9651","-81.0676","114","yes","yes","yes","yes","","yes","","","","",""
"TA Cartersville","truck-stops","981 Cassville-White Road","Cartersville","GA","30121","770-607-8885","","212 truck parking spaces. 10 showers. 6 service bays. 8 diesel lanes. On site: IHOP; Burger King, Popeyes, Taco Bell & Pizza Hut Express. Weigh scale on site (brand unconfirmed)","34.2739","-84.8075","212","yes","yes","yes","yes","","yes","","","","",""
"TA San Antonio","truck-stops","6170 I-10 East","San Antonio","TX","78219","210-310-0145","","238 truck parking spaces. 10 showers. 7 service bays. 8 diesel lanes. On site: Burger King, Fazoli's, Popeyes. Weigh scale on site (brand unconfirmed)","29.4433","-98.3618","238","yes","yes","yes","yes","","yes","","","","",""
"TA Commerce City","truck-stops","5101 Quebec Street","Commerce City","CO","80022","303-286-0123","","224 truck parking spaces. 10 showers. 6 service bays. 8 diesel lanes. On site: Burger King, Pizza Hut Express, Popeyes. Weigh scale on site (brand unconfirmed)","39.7901","-104.9043","224","yes","yes","yes","yes","","yes","","","","",""
"TA Hurricane","truck-stops","4195 State Route 34","Hurricane","WV","25526-9772","304-757-7600","","76 truck parking spaces. 7 showers. 5 service bays. 9 diesel lanes. Weigh scale on site (brand unconfirmed)","38.4543","-81.935","76","yes","","yes","yes","","yes","","","","",""
"TA Dallas South","truck-stops","7751 Bonnie View Rd","Dallas","TX","75241","469-941-3150","","136 truck parking spaces. 9 showers. 5 service bays. 8 diesel lanes. On site: Burger King, Taco Bell & Pizza Hut Express. Weigh scale on site (brand unconfirmed)","32.6534","-96.7517","136","yes","yes","yes","yes","","yes","","","","",""
"TA Sayre","truck-stops","11603 N. 1900 Rd.","Sayre","OK","73662","580-928-5571","","101 truck parking spaces. 7 showers. 2 service bays. 10 diesel lanes. On site: Subway, Taco Bell. Weigh scale on site (brand unconfirmed)","35.3355","-99.5946","101","yes","yes","yes","","","yes","","","","",""
"TA Laredo","truck-stops","1010 Beltway Parkway","Laredo","TX","78045","956-724-2016","","336 truck parking spaces. 15 showers. 5 service bays. 8 diesel lanes. On site: IHOP; Burger King, Taco Bell. Weigh scale on site (brand unconfirmed)","27.6875","-99.4634","336","yes","yes","yes","yes","","yes","","","","",""
"TA Southington","truck-stops","1875 Meriden-Waterbury Turnpike","Milldale","CT","06467","860-621-0106","","145 truck parking spaces. 10 showers. 3 service bays. 8 diesel lanes. On site: Popeyes, Taco Bell. Weigh scale on site (brand unconfirmed)","41.5647","-72.9102","145","yes","yes","yes","yes","","yes","","","","",""
"TA Commerce","truck-stops","30732 Hwy 441 South","Commerce","GA","30529","706-335-5198","","89 truck parking spaces. 14 showers. 4 service bays. 8 diesel lanes. On site: Fuddruckers. Weigh scale on site (brand unconfirmed)","34.2528","-83.4632","89","yes","yes","yes","yes","","yes","","","","",""
"TA Express Tampa","truck-stops","11706 Tampa Gateway Blvd.","Seffner","FL","33584","813-262-1560","","81 truck parking spaces. 7 showers. 3 service bays. 6 diesel lanes. On site: Arby's, Popeyes. Weigh scale on site (brand unconfirmed)","28.0099","-82.301","81","yes","yes","yes","yes","","yes","","","","",""
"TA Buttonwillow","truck-stops","27769 Lagoon Drive","Buttonwillow","CA","93206-0004","661-764-5266","","170 truck parking spaces. 8 showers. 2 service bays. 8 diesel lanes. On site: Popeyes, Taco Bell. Weigh scale on site (brand unconfirmed)","35.401","-119.3961","170","yes","yes","yes","yes","","yes","","","","",""
"TA Lafayette","truck-stops","1701 North University Ave.","Lafayette","LA","70507-6399","337-237-0176","","128 truck parking spaces. 9 showers. 2 service bays. 8 diesel lanes. On site: Sbarro. Weigh scale on site (brand unconfirmed)","30.2521","-92.0381","128","yes","yes","yes","yes","","yes","","","","",""
"TA Ontario","truck-stops","4265 East Guasti Road","Ontario","CA","91761-1571","909-390-2525","","549 truck parking spaces. 17 showers. 6 service bays. 8 diesel lanes. On site: Country Pride; Pizza Hut Express, Taco Bell. Weigh scale on site (brand unconfirmed)","34.0649","-117.5599","549","yes","yes","yes","yes","","yes","","","","",""
"TA Santa Nella","truck-stops","12310 State Highway 33","Santa Nella","CA","95322-9735","209-826-0741","","216 truck parking spaces. 12 showers. 4 service bays. 8 diesel lanes. On site: IHOP; Popeyes. Weigh scale on site (brand unconfirmed)","37.1101","-121.0147","216","yes","yes","yes","yes","","yes","","","","",""
"TA Boise","truck-stops","4115 Broadway Ave","Boise","ID","83705","208-344-1091","","171 truck parking spaces. 12 showers. 3 service bays. 7 diesel lanes. On site: Country Pride; Subway, Taco Bell. Weigh scale on site (brand unconfirmed)","43.5656","-116.1994","171","yes","yes","yes","yes","","yes","","","","",""
"TA Livingston","truck-stops","435 Winton Parkway","Livingston","CA","95334","209-799-3500","","102 truck parking spaces. 7 showers. 5 service bays. 6 diesel lanes. On site: Burger King, Popeyes. Weigh scale on site (brand unconfirmed)","37.3876","-120.7382","102","yes","yes","yes","yes","","yes","","","","",""
"TA Express New Haven","truck-stops","3 East Industrial Road","Branford","CT","06405-6508","203-481-0301","","75 truck parking spaces. 7 showers. 4 service bays. 6 diesel lanes. On site: Pizza Hut Express, Popeyes, Starbucks. Weigh scale on site (brand unconfirmed)","41.2968","-72.7595","75","yes","yes","yes","yes","","yes","","","","",""
"TA Sparks","truck-stops","200 North McCarren","Sparks","NV","89431-5419","775-359-0550","","200 truck parking spaces. 10 showers. 3 service bays. 8 diesel lanes. On site: Fuddruckers. Weigh scale on site (brand unconfirmed)","39.5351","-119.7361","200","yes","yes","yes","yes","","yes","","","","",""
"TA Whitestown","truck-stops","5930 Whitestown Pkwy","Whitestown","IN","46075-9801","317-769-3291","","169 truck parking spaces. 9 showers. 4 service bays. 7 diesel lanes. On site: Popeyes. Weigh scale on site (brand unconfirmed)","39.9478","-86.357","169","yes","yes","yes","yes","","yes","","","","",""
"TA Wheat Ridge","truck-stops","12151 West 44th Avenue","Wheat Ridge","CO","80033-2448","303-423-8250","","116 truck parking spaces. 7 showers. 2 service bays. 8 diesel lanes. On site: Highway Kitchen. Weigh scale on site (brand unconfirmed)","39.7793","-105.1349","116","yes","yes","yes","yes","","yes","","","","",""
"TA Foristell","truck-stops","3265 N. Service Road East","Foristell","MO","63348-0069","636-673-2295","","95 truck parking spaces. 8 showers. 5 service bays. 8 diesel lanes. On site: Popeyes, Taco Bell & Pizza Hut Express. Weigh scale on site (brand unconfirmed)","38.8171","-90.9495","95","yes","yes","yes","yes","","yes","","","","",""
"TA Seattle East","truck-stops","46630 North Bend Way","North Bend","WA","98045","425-888-1119","","140 truck parking spaces. 8 showers. 3 service bays. 6 diesel lanes. On site: Popeyes, Starbucks. Weigh scale on site (brand unconfirmed)","47.4683","-121.7181","140","yes","yes","yes","yes","","yes","","","","",""
"TA Savannah","truck-stops","4401 Hwy. 17","Richmond Hill","GA","31324-0280","912-756-3381","","222 truck parking spaces. 8 showers. 6 service bays. 9 diesel lanes. On site: Fuddruckers; Popeyes. Weigh scale on site (brand unconfirmed)","31.9252","-81.3327","222","yes","yes","yes","yes","","yes","","","","",""
"TA Marianna","truck-stops","2112 Highway 71 South","Marianna","FL","32448","850-526-3303","","123 truck parking spaces. 9 showers. 5 service bays. 8 diesel lanes. On site: Popeyes, Taco Bell & Pizza Hut Express. Weigh scale on site (brand unconfirmed)","30.7187","-85.1837","123","yes","yes","yes","yes","","yes","","","","",""
"TA Manning","truck-stops","3014 Paxville Highway","Manning","SC","29102","803-791-9095","","84 truck parking spaces. 8 showers. 6 service bays. 8 diesel lanes. On site: Popeyes. Weigh scale on site (brand unconfirmed)","33.7046","-80.242","84","yes","yes","yes","yes","","yes","","","","",""
