site_id,brand,verdict,reasons,name,address,city,state,zip,phone,ta_latitude,ta_longitude,truck_parking_spaces,shower_count,service_bays,diesel_lanes,food_brands,truck_wash,scale_present,amenities_mapped,matched_production_id,matched_production_name,match_distance_miles,provenance,reviewer_decision,reviewer_notes
"0016","TA","net-new-candidate","no-production-match","TA Tuscaloosa","3501 Buttermilk Road","Tuscaloosa","AL","35453-9364","205-554-0215","33.1759","-87.4462","151","12","6","10","Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0017","TA","net-new-candidate","no-production-match","TA Baytown","6800 Thompson Road","Baytown","TX","77521","281-424-7772","29.7967","-95.0311","173","10","6","12","IHOP","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0019","TA","probable-duplicate","same-address|city|state","TA Elkton","1400 Elkton Road","Elkton","MD","21921","410-398-7000","39.6436","-75.7974","151","10","3","10","","","yes","Showers|Fuel|Laundry|Repair","ae5c7f98-3827-4f30-a664-af01f578db47","TA Truck Service (Elkton)","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0022","TA","net-new-candidate","no-production-match","TA Willington","327 Ruby Road","Willington","CT","06279","860-684-0499","41.9177","-72.2615","240","10","3","8","Country Pride; Burger King","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0023","TA","net-new-candidate","no-production-match","TA Santa Rosa","2634 Historic Route 66","Santa Rosa","NM","88435-0372","575-935-9939","34.9443","-104.6407","116","9","3","11","Popeyes, Subway","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0024","TA","net-new-candidate","no-production-match","TA London","940 US RT 42 NE","London","OH","43140-0560","740-852-3810","39.9538","-83.3796","138","10","6","8","Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0025","TA","net-new-candidate","no-production-match","TA Spartanburg","1402 East Main St.","Duncan","SC","29334-9647","864-433-0711","34.914","-82.11","187","11","8","8","Country Pride","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0026","Petro","net-new-candidate","no-production-match","Petro Ontario","4325 E. Guasti Rd.","Ontario","CA","91761-7807","909-390-7800","34.0647","-117.5566","559","30","4","16","Iron Skillet; Burger King, Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0028","TA","existing-match","dup-key-name|city|state","TA Walton","145 Richwood Road","Walton","KY","41094-9526","859-485-4111","38.9172","-84.6266","60","6","4","6","Highway Kitchen, KFC","","yes","Showers|Food|Fuel|Laundry|Repair","dee17bfa-a6bf-4da0-8d48-95a9231de439","TA Walton","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0029","TA","net-new-candidate","no-production-match","TA Kingsville","5551 St Rt 193","Kingsville","OH","44048","440-224-2035","41.8765","-80.6671","158","9","2","10","Burger King","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0030","TA","net-new-candidate","no-production-match","TA Chicago North","16650 W. Russell Road","Zion","IL","60099","847-395-5580","42.4857","-87.951","215","12","3","10","","","yes","Showers|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0032","TA","net-new-candidate","no-production-match","TA Wheeling","270 W. Alexander Road","Valley Grove","WV","26060-8025","304-547-1521","40.0694","-80.5677","168","12","4","8","Country Pride","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0033","TA","probable-duplicate","same-operator-name-in-city|state","TA Earle","408 Highway 149 North","Earle","AR","72331","870-657-2105","35.1364","-90.488","137","9","6","8","Burger King, Pizza Hut Express, Taco Bell","","yes","Showers|Food|Fuel|Laundry|Repair","7263d1cc-402f-4e71-84c4-abe89266f219","CAT Scale at TA Earle","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0035","TA","net-new-candidate","no-production-match","TA Effingham","1702 West Evergreen Ave","Effingham","IL","62401-1388","217-347-7183","39.1364","-88.5662","137","10","6","11","Dunkin', Popeyes, Sbarro","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0036","TA","net-new-candidate","no-production-match","TA Oklahoma City East","801 South Council Road","Oklahoma City","OK","73128-4218","405-787-7411","35.458","-97.6556","175","12","6","10","IHOP","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0039","TA","net-new-candidate","no-production-match","TA Hebron","10679 Lancaster Road, SE","Hebron","OH","43025-0520","740-467-2900","39.9389","-82.5349","130","10","6","8","Popeyes, Sbarro","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0041","TA","net-new-candidate","no-production-match","TA Coachella","46155 Dillon Road","Coachella","CA","92236","760-342-6200","33.7139","-116.1756","205","15","4","12","Arby's, Popeyes, Taco Bell","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0043","TA","net-new-candidate","no-production-match","TA Mt Vernon","4510 Broadway St","Mt. Vernon","IL","62864","618-244-4242","38.3134","-88.9594","136","11","6","8","Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0044","TA","net-new-candidate","no-production-match","TA Elgin","19 N. 430 US Hwy 20","Hampshire","IL","60140","847-683-4550","42.1451","-88.5095","92","10","2","8","Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0045","TA","net-new-candidate","no-production-match","TA Madison","2021 Eatonton Road","Madison","GA","30650","706-342-4176","33.5524","-83.4748","149","7","6","7","Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0046","TA","net-new-candidate","no-production-match","TA Tallulah","224 Highway 65 South","Tallulah","LA","71282","318-574-5900","32.3886","-91.2006","135","7","5","8","Country Pride","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0047","TA","net-new-candidate","no-production-match","TA Meridian","2150 Russell Mt. Gilead Road","Meridian","MS","39301","601-483-7611","32.3962","-88.5826","90","6","5","8","Country Pride","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0048","TA","net-new-candidate","no-production-match","TA Bloomsbury","975 State Route 173","Bloomsbury","NJ","08804","908-479-4136","40.6594","-75.075","122","7","4","9","Country Pride; Burger King","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0049","TA","net-new-candidate","no-production-match","TA Rockwall","2105 South Goliad St.","Rockwall","TX","75032","972-722-7450","32.9074","-96.45","100","7","3","6","Burger King, Pizza Hut Express","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0050","TA","net-new-candidate","no-production-match","TA Madison","5901 Highway 51","DeForest","WI","53532","608-249-9000","43.1745","-89.3255","118","9","4","8","Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0051","TA","net-new-candidate","no-production-match","TA Matthews","854 State Hwy 80","Matthews","MO","63867","573-471-8644","36.7582","-89.5346","114","6","5","8","Popeyes, Taco Bell Express","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0052","TA","net-new-candidate","no-production-match","TA Oak Grove","100 North Broadway","Oak Grove","MO","64075","816-690-4115","39.0176","-94.1302","118","9","3","10","IHOP; Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0053","TA","probable-duplicate","same-operator-name-in-city|state","TA Wildwood","556 St. Rt. 44","Wildwood","FL","34785","352-748-2501","28.875","-82.0939","170","10","5","10","Pizza Hut Express, Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","5992321e-fdc0-44b7-81ba-b85a783e5d24","CAT Scale - TA Wildwood","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0054","TA","net-new-candidate","no-production-match","TA Mobile","9201 Grand Bay","Grand Bay","AL","36541","251-865-6175","30.4985","-88.3336","89","8","5","6","Dunkin', Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0055","TA","net-new-candidate","no-production-match","TA Amarillo","7000 E. Interstate 40","Amarillo","TX","79118","806-342-3080","35.1915","-101.7589","185","10","6","8","Black Bear Diner; Burger King, Pizza Hut Express, Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0056","TA","net-new-candidate","no-production-match","TA Aurora","21856 Bents Road NE","Aurora","OR","97002","503-678-2111","45.2361","-122.8072","275","9","2","8","Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0057","TA","net-new-candidate","no-production-match","TA Redding","19483 Knighton Road","Redding","CA","96002","530-221-4760","40.5048","-122.3349","196","7","2","10","Pizza Hut Express, Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0058","TA","net-new-candidate","no-production-match","TA Youngstown","5400 Seventy Six Drive","Youngstown","OH","44515","330-793-4426","41.1225","-80.7653","145","9","5","10","","","yes","Showers|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0059","TA","net-new-candidate","no-production-match","TA Oklahoma City West","501 South Morgan Road","Oklahoma City","OK","73128","405-324-5376","35.4617","-97.6906","101","8","3","8","Fazoli's, Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0060","TA","net-new-candidate","no-production-match","TA Tooele","8836 North Highway 40","Salt Lake City","UT","84074","801-250-8585","40.6899","-112.2629","191","11","3","7","Burger King, Taco Bell","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0065","TA","existing-match","dup-key-name|city|state","TA Seymour","2636 E. Tipton St.","Seymour","IN","47274-3593","812-522-6622","38.9576","-85.8366","184","9","6","9","Charleys Philly Steaks, Highway Kitchen","","yes","Showers|Food|Fuel|Laundry|Repair","b9b49d33-ae7d-4ca0-b197-6986c17eef18","TA Seymour","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0066","TA","net-new-candidate","no-production-match","TA Council Bluffs","3210 South Seven Street","Council Bluffs","IA","51501","712-366-2217","41.2287","-95.8536","78","8","2","8","","","yes","Showers|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0067","TA","net-new-candidate","no-production-match","TA Barkeyville","5644 St. Rt. 8","Harrisville","PA","16038-9641","814-786-7988","41.1992","-79.9758","112","8","3","8","Country Pride","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0068","TA","net-new-candidate","no-production-match","TA Lamar","5600 Nittany Valley Drive","Lamar","PA","16848-0278","570-726-4996","41.0275","-77.521","168","11","3","9","Country Pride","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0069","TA","probable-duplicate","same-address|city|state","TA Monroe","1255 N Dixie Hwy","Monroe","MI","48162","734-384-7952","41.9267","-83.3632","156","10","3","8","Fazoli's, Popeyes, Tim Horton's","","yes","Showers|Food|Fuel|Laundry|Repair","4f94e1cf-fe15-4bba-917c-9f389ab3bd04","TA Truck Service - Monroe (#069)","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0071","TA","net-new-candidate","no-production-match","TA Janesville","3222 Hwy. 14 East","Janesville","WI","53546-8218","608-752-8700","42.7143","-88.9793","96","12","4","8","Chester Fried Chicken, Cinnabon, Hunt Brothers Pizza, Wendy's","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0077","TA","net-new-candidate","no-production-match","TA Walcott","755 W. Iowa 80 Road","Walcott","IA","52773","563-284-6961","41.6179","-90.7815","900","24","7","15","Iowa 80 Kitchen; Blimpie, Dairy Queen, Orange Julius, Pizza Hut Express, Starbucks, Taco Bell, Wendy's","Truckomat Truck Wash","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0081","TA","net-new-candidate","no-production-match","TA Albuquerque","2501 University Blvd., NE","Albuquerque","NM","87107","505-884-1066","35.1111","-106.6247","150","10","3","8","Country Pride","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0082","TA","probable-duplicate","same-address|city|state","TA Wapakoneta","1775 Bellefontaine St.","Wapakoneta","OH","45895","567-712-5101","40.5582","-84.1656","145","7","3","8","Miss J's Diner; Miss J’s Café","","yes","Showers|Food|Fuel|Repair","bd4ef3ee-4a8d-48f5-bb60-aaa6dddd648d","TA Truck Service - TA Wapakoneta #082, Wapakoneta","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0087","TA","net-new-candidate","no-production-match","TA Toledo","3483 Libbey Road","Perrysburg","OH","43551-9750","567-970-3800","41.5215","-83.4624","177","12","4","10","Taco Bell","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0089","TA","net-new-candidate","no-production-match","TA Ann Arbor","200 Baker Road","Dexter","MI","48130","734-426-3951","42.2963","-83.8764","203","8","3","9","Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0090","TA","net-new-candidate","no-production-match","TA Ogallala","103 Prospector Drive","Ogallala","NE","69153-3198","308-284-3667","41.1138","-101.7116","94","9","2","8","Country Pride","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0091","TA","net-new-candidate","no-production-match","TA Oakley","1001 Hwy 40","Oakley","KS","67748","785-672-4111","39.1188","-100.811","84","6","6","8","IHOP; Sonic, Subway","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0092","TA","net-new-candidate","no-production-match","TA Bloomington","505 Truckers Lane","Bloomington","IL","61701","309-827-4676","40.488","-89.0262","160","8","6","8","","","yes","Showers|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0093","TA","existing-match","dup-key-name|city|state","TA Florence","7777 Burlington Pike","Florence","KY","41042","859-371-7166","39.0001","-84.6447","123","6","6","8","Popeyes, Subway","","yes","Showers|Food|Fuel|Laundry|Repair","eec1d852-2b50-47f7-a59e-b1238f1ace2d","TA Florence","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0094","TA","net-new-candidate","no-production-match","TA Kingman","946 West Beale Street","Kingman","AZ","86401","928-753-7600","35.1901","-114.0702","115","11","5","10","Black Bear Diner; Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0095","TA","net-new-candidate","no-production-match","TA North Canton","4450 Portage St. NW","Canton","OH","44720","330-494-7507","40.8788","-81.4295","85","4","","6","","","yes","Showers|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0108","TA","net-new-candidate","no-production-match","TA Las Vegas","8050 Dean Martin Drive","Las Vegas","NV","89139","702-361-1176","36.0433","-115.1873","144","13","3","10","Burger King, Taco Time","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0116","TA","net-new-candidate","no-production-match","TA Sawyer","6100 Sawyer Road","Sawyer","MI","49125","269-426-4884","41.8845","-86.6001","155","9","3","10","Burger King, Pizza Hut, Popeyes, Taco Bell Express","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0117","TA","net-new-candidate","no-production-match","TA Antioch","13011 Old Hickory Blvd.","Antioch","TN","37013","615-641-6731","36.015","-86.6184","122","10","5","7","Burger King, Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0137","TA","net-new-candidate","no-production-match","TA Strafford","225 E. Evergreen","Strafford","MO","65757-0069","417-736-2161","37.2745","-93.1152","140","8","2","8","Denny's; Miss J's, Subway, Taco Bell","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0139","TA","net-new-candidate","no-production-match","TA Jeffersonville","12403 US Rt 35 NW","Jeffersonville","OH","43128-0068","740-948-2365","39.6166","-83.6038","144","7","5","10","IHOP; Pizza Hut Express, Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0142","TA","probable-duplicate","same-operator-name-in-city|state","TA Richmond","10134 Lewistown Road","Ashland","VA","23005","804-798-6021","37.7237","-77.4479","317","10","6","7","Pizza Hut Express, Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","a10bc9c5-3119-4a79-bb06-906f09e4d234","CAT Scale at TA Ashland","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0143","TA","net-new-candidate","no-production-match","TA Wytheville","1025 Peppers Ferry Road","Wytheville","VA","24382","276-228-8676","36.9651","-81.0676","114","12","6","10","IHOP; Popeyes, Subway, Taco Bell","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0146","TA","probable-duplicate","coordinate-within-0.25mi-same-operator","TA Cartersville","981 Cassville-White Road","Cartersville","GA","30121","770-607-8885","34.2739","-84.8075","212","10","6","8","IHOP; Burger King, Popeyes, Taco Bell & Pizza Hut Express","","yes","Showers|Food|Fuel|Laundry|Repair","e2c31cbf-a70b-4617-abb9-d65d6d747c83","CAT Scale — TA Cartersville","0.016","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0147","TA","net-new-candidate","no-production-match","TA San Antonio","6170 I-10 East","San Antonio","TX","78219","210-310-0145","29.4433","-98.3618","238","10","7","8","Burger King, Fazoli's, Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0148","TA","net-new-candidate","no-production-match","TA Commerce City","5101 Quebec Street","Commerce City","CO","80022","303-286-0123","39.7901","-104.9043","224","10","6","8","Burger King, Pizza Hut Express, Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0149","TA","net-new-candidate","no-production-match","TA Hurricane","4195 State Route 34","Hurricane","WV","25526-9772","304-757-7600","38.4543","-81.935","76","7","5","9","","","yes","Showers|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0150","TA","net-new-candidate","no-production-match","TA Dallas South","7751 Bonnie View Rd","Dallas","TX","75241","469-941-3150","32.6534","-96.7517","136","9","5","8","Burger King, Taco Bell & Pizza Hut Express","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0151","TA","probable-duplicate","same-address|city|state","TA Baltimore South","7401 Assateague Drive","Jessup","MD","20794","410-799-3835","39.1667","-76.7828","436","19","3","9","Country Pride","","yes","Showers|Food|Fuel|Laundry|Repair","ff19357b-eb93-4483-9e4e-ebb40e07fe36","TA Baltimore South #151","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
