listing_id,business_name,category,address,city,state,zip,current_latitude,current_longitude,proposed_latitude,proposed_longitude,confidence,source_url,verification_notes,action,confidence_reason,reviewer_notes,priority,anchor_provenance
ddf043af-973d-478c-b539-d5e22cd93b5b,Stony Ridge Travel Center / Stony Ridge Truck Plaza,truck-stops,1250 Hamilton-Lebanon Road E,Monroe,OH,45050,,,39.483744,-84.387764,low,,mile-marker interpolation; interpolated between mileposts 15 and 32 (gap 17 mi),manual-review,anchor gap based; capped at medium by design,"shares proposed point with candidate(s) 773a8400-7000-4901-b31c-6f83dda77af6, 88da4d5c-2816-4329-947d-6a77e584c45d, ef9a0053-4768-456f-a747-0e383547a97a",normal,lower: census-pending-approval; upper: census-pending-approval
de64c6c1-113f-4ede-a07c-93d02f8f1193,TA Truck Service - Lake City,tire-repair,,Lake City,FL,,,,29.996262,-82.597282,medium,,mile-marker interpolation; interpolated between mileposts 414 and 414 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,CO-LOCATED: identical point to pending anchor of listing 04e8fad7-c564-4879-95ba-91816d3b1074 — confirm distinct businesses at this exit,high,exact-exit anchor: census-pending-approval
ded68cd3-cdaa-4af2-9cbd-df5f6aaf354c,Love's Truck Care (Speedco) at Lafayette #874,tire-repair,2400 E 200 N,Lafayette,IN,47905,,,40.463561,-86.842053,medium,,mile-marker interpolation; interpolated between mileposts 168 and 178 (gap 10 mi),manual-review,anchor gap based; capped at medium by design,"shares proposed point with candidate(s) 76e36705-8140-4902-8922-1ae83351ce7a, 98192ea9-07b8-41aa-8b7d-82a96752bd04",high,lower: census-pending-approval; upper: census-pending-approval
dfc83f1a-51ce-4d8a-a0d4-15b3955ee28d,Circle K (Ringgold Travel Center),truck-stops,11418 Hwy 41,Ringgold,GA,30736,,,34.878097,-85.142280,low,,mile-marker interpolation; interpolated between mileposts 328 and 353 (gap 25 mi),manual-review,anchor gap based; capped at medium by design,,normal,lower: directory-verified; upper: census-pending-approval
e46dde1f-f966-449f-8017-0b5956c8a8e9,Days Inn by Wyndham Wildwood I-75,hotels-truck-parking,,Wildwood,FL,,,,28.874211,-82.094981,medium,,mile-marker interpolation; interpolated between mileposts 329 and 329 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,"CO-LOCATED: identical point to pending anchor of listing 76f653aa-907b-4800-865a-1dd03003185a — confirm distinct businesses at this exit; shares proposed point with candidate(s) 22ab6bbc-2890-4b91-bb54-c04c6dd80a89, 245d9e0f-cb95-461e-822a-e458c03212ed, 2c075ea6-0ffe-4f08-8bcc-9d0a027c1ff3, 58ed9375-a7ad-4139-95ec-8c928564778c, 5992321e-fdc0-44b7-81ba-b85a783e5d24, 713ec7f7-b945-4cab-8cda-063d5d117e1b",high,exact-exit anchor: census-pending-approval
e5c73805-b895-443e-ad46-5b33992106d6,Pilot Travel Center #90,truck-stops,7300 Okeechobee Rd,Fort Pierce,FL,34945,,,27.413135,-80.397626,medium,,mile-marker interpolation; interpolated between mileposts 129 and 129 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,CO-LOCATED: identical point to pending anchor of listing 3cbba395-9805-41ca-91c5-2a171aebab14 — confirm distinct businesses at this exit; shares proposed point with candidate(s) 9691fa24-7dec-48e1-83f0-6c8549f85d40,high,exact-exit anchor: census-pending-approval
e963cb04-0c2f-4b9e-aecf-f914523faefd,Days Inn Carmel Church / Ruther Glen,hotels-truck-parking,,Ruther Glen,VA,22546,,,37.938277,-77.466413,medium,,mile-marker interpolation; interpolated between mileposts 104 and 104 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,CO-LOCATED: identical point to pending anchor of listing 025700b8-af4a-4322-96c1-64fff65ec6b4 — confirm distinct businesses at this exit,high,exact-exit anchor: census-pending-approval
ea928447-ab0f-46a4-9d40-916a91f2ffa2,CAT Scale at Love's Travel Stop #236,cat-scales,11801 E I-40,North Little Rock,AR,72117,,,34.823607,-92.096193,medium,,mile-marker interpolation; interpolated between mileposts 161 and 161 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,"CO-LOCATED: identical point to pending anchor of listing 0590d8cb-a505-4dfe-bdd6-5ce120d04412 — confirm distinct businesses at this exit; shares proposed point with candidate(s) 03c39975-0f38-4f41-97e7-d50d95b9edf0, 5ff985fa-b430-487b-8217-485a94e97d7d, 683aa9c6-51fa-479d-8042-b597b0bf2958, 740eb2a8-11f4-417c-b100-55913cdad7bb, 7eaa790a-ef79-4337-8268-12328f968bfb, 930d8058-2612-4312-99fe-c80cc9d03e11, d33bd5af-db05-4f0b-a829-7db826c27a96",high,exact-exit anchor: census-pending-approval
edec532e-6c37-48e3-938d-064666b181fd,Quality Inn Cullman I-65 Exit 310,hotels-truck-parking,,Cullman,AL,,,,34.200325,-86.872716,low,,mile-marker interpolation; interpolated between mileposts 305 and 334 (gap 29 mi),manual-review,anchor gap based; capped at medium by design,shares proposed point with candidate(s) 1ea6395c-a3b6-45ea-8e77-44eeca7f1ef6,normal,lower: census-pending-approval; upper: census-pending-approval
ef9a0053-4768-456f-a747-0e383547a97a,Speedway #9383,truck-stops,,Monroe,OH,45050,,,39.483744,-84.387764,low,,mile-marker interpolation; interpolated between mileposts 15 and 32 (gap 17 mi),manual-review,anchor gap based; capped at medium by design,"shares proposed point with candidate(s) 773a8400-7000-4901-b31c-6f83dda77af6, 88da4d5c-2816-4329-947d-6a77e584c45d, ddf043af-973d-478c-b539-d5e22cd93b5b",normal,lower: census-pending-approval; upper: census-pending-approval
f4ede9a9-960e-46a2-a8e7-8251b45405d2,Triple G Truck Wash,truck-washes,,Mount Vernon,KY,40456,,,37.380716,-84.330279,medium,,mile-marker interpolation; interpolated between mileposts 62 and 62 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,CO-LOCATED: identical point to pending anchor of listing 3e0cd409-c3fc-4aa3-bdfd-0fe2587746f6 — confirm distinct businesses at this exit,high,exact-exit anchor: census-pending-approval
f71dfc37-7d4f-4693-a5d8-964a03945701,Baymont by Wyndham Ridgeland I-95,hotels-truck-parking,,Ridgeland,SC,29936,,,32.488998,-80.977907,medium,,mile-marker interpolation; interpolated between mileposts 21 and 21 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,CO-LOCATED: identical point to pending anchor of listing 5ad2354d-2ee0-42ab-b983-c07c9716e753 — confirm distinct businesses at this exit,high,exact-exit anchor: census-pending-approval
f7aeb412-6df9-459d-b662-a68cf00f3f42,J Mart #1305,truck-stops,,Priceville,AL,,,,34.537289,-86.911221,medium,,mile-marker interpolation; interpolated between mileposts 334 and 334 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,CO-LOCATED: identical point to pending anchor of listing 00ced50d-f1f6-4e29-9a16-1b866beedef0 — confirm distinct businesses at this exit,high,exact-exit anchor: census-pending-approval
fdbe5898-24a8-4743-a127-a5a1769e3ef9,Royal Inn Lumberton,hotels-truck-parking,,Lumberton,NC,28358,,,34.647074,-79.024169,medium,,mile-marker interpolation; interpolated between mileposts 17 and 22 (gap 5 mi),manual-review,anchor gap based; capped at medium by design,,high,lower: census-pending-approval; upper: census-pending-approval
fe6917b6-5da4-42db-a6ab-e533a1101e62,Love's Travel Stop #363 (Ocala),truck-stops,7791 NW 47th Ave,Ocala,FL,34482,,,29.267063,-82.191807,medium,,mile-marker interpolation; interpolated between mileposts 358 and 358 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,"CO-LOCATED: identical point to pending anchor of listing 1fbc776a-057a-4370-96e9-bc049b0385a8 — confirm distinct businesses at this exit; shares proposed point with candidate(s) 05c35c41-6e8f-481f-a2f7-5f50e91170df, 2f8d337f-56bf-4d5d-bfca-44de796066ca",high,exact-exit anchor: census-pending-approval
ff14e2af-f0a7-4e65-a341-c15aab36fe6e,Pro Stop (Pilot Flying J Dealer #962),truck-stops,1503 Avco Blvd,Sellersburg,IN,47172,,,38.371951,-85.758429,medium,,mile-marker interpolation; interpolated between mileposts 7 and 7 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,"CO-LOCATED: identical point to pending anchor of listing 41310565-f89e-49e0-9596-d17a218a165b — confirm distinct businesses at this exit; shares proposed point with candidate(s) 31a18b65-6475-4880-9203-f8d44505a815, 52615e2d-bbbe-45e7-8acc-4e95824179c8, 7429a8d9-ab7c-4563-be9c-c66b0b19efc4, 77cae36c-db9c-4cbf-832a-dbfbb384389b",high,exact-exit anchor: census-pending-approval
ff8e8a78-c506-47cd-a3bf-26f34324389e,Mapco Express #3059,truck-stops,545 Industrial Blvd,Conway,AR,72032,,,35.056670,-92.420915,medium,,mile-marker interpolation; interpolated between mileposts 127 and 135 (gap 8 mi),manual-review,anchor gap based; capped at medium by design,,high,lower: census-pending-approval; upper: census-pending-approval
